round,client_id,task,accuracy,loss,samples_processed,correct_predictions,val_accuracy,val_loss,val_samples,val_correct_predictions,timestamp
14,stsb_client,stsb,0.6041582643146675,0.07874815751399313,500,109,0.5875714962667311,0.06969910172315744,100,22,2025-10-20 11:48:51
14,sst2_client,sst2,0.892,0.6337327569250076,500,446,0.74,0.627101155427786,100,74,2025-10-20 11:49:00
14,qqp_client,qqp,0.7566666666666667,0.684803694486618,300,227,0.6833333333333333,0.6774015426635742,60,41,2025-10-20 11:49:19
15,stsb_client,stsb,0.6399611159469443,0.08119604967179753,500,108,0.6152645185809883,0.07525836045925434,100,23,2025-10-20 11:51:25
15,sst2_client,sst2,0.912,0.6421353892674522,500,456,0.69,0.6393167055570163,100,69,2025-10-20 11:52:02
15,qqp_client,qqp,0.7533333333333333,0.6864024337969328,300,226,0.7333333333333333,0.6812099069356918,60,44,2025-10-20 11:52:20
16,stsb_client,stsb,0.5847048758122894,0.08262262617548306,500,108,0.6216079994951995,0.078967795922206,100,23,2025-10-20 11:54:27
16,sst2_client,sst2,0.89,0.652273746709975,500,445,0.7,0.6485008872472323,100,70,2025-10-20 11:54:42
16,qqp_client,qqp,0.77,0.6876348570773476,300,231,0.7333333333333333,0.682833731174469,60,44,2025-10-20 11:55:00
17,stsb_client,stsb,0.6203691424051445,0.08413827954421914,500,111,0.621917393377407,0.07966667900864895,100,23,2025-10-20 11:56:31
17,sst2_client,sst2,0.902,0.659883179361858,500,451,0.69,0.6572197033808782,100,69,2025-10-20 11:57:01
17,qqp_client,qqp,0.78,0.6890693589260704,300,234,0.7333333333333333,0.6861792951822281,60,44,2025-10-20 11:57:19
18,stsb_client,stsb,0.6210059488061922,0.08472872608237797,500,108,0.6191987098848798,0.08324086780731495,100,23,2025-10-20 11:59:06
18,sst2_client,sst2,0.904,0.6670186756149171,500,452,0.74,0.6648188829421997,100,74,2025-10-20 11:59:33
18,qqp_client,qqp,0.7866666666666666,0.6903432874303115,300,236,0.7333333333333333,0.6887537017464638,60,44,2025-10-20 11:59:51
19,stsb_client,stsb,0.6535580912822962,0.08498539873177097,500,108,0.6200672654993092,0.08179234469739291,100,23,2025-10-20 12:01:31
19,sst2_client,sst2,0.896,0.6725463242757888,500,448,0.71,0.669138619532952,100,71,2025-10-20 12:02:14
19,qqp_client,qqp,0.7766666666666666,0.6915762675435919,300,233,0.7333333333333333,0.6901347413659096,60,44,2025-10-20 12:02:32
20,stsb_client,stsb,0.6306246691527484,0.08517870833239859,500,110,0.6199911045567457,0.08210095046804501,100,23,2025-10-20 12:04:26
20,sst2_client,sst2,0.904,0.6771583188147772,500,452,0.74,0.6753305701109079,100,74,2025-10-20 12:04:51
20,qqp_client,qqp,0.7866666666666666,0.692327231168747,300,236,0.7333333333333333,0.6919005587697029,60,44,2025-10-20 12:05:09
21,stsb_client,stsb,0.6599317298351883,0.08551197241814364,500,109,0.6201836066116363,0.0840317581135493,100,23,2025-10-20 12:07:01
21,sst2_client,sst2,0.906,0.6815809739960564,500,453,0.73,0.6793686839250418,100,73,2025-10-20 12:07:31
21,qqp_client,qqp,0.7766666666666666,0.6927544913793865,300,233,0.7333333333333333,0.6924872025847435,60,44,2025-10-20 12:07:49
22,stsb_client,stsb,0.6448843589533889,0.08560712301423626,500,109,0.6202514164459335,0.08219245248115979,100,23,2025-10-20 12:09:45
22,sst2_client,sst2,0.912,0.6849868562486436,500,456,0.73,0.6835877482707684,100,73,2025-10-20 12:10:05
22,qqp_client,qqp,0.78,0.6929735431545659,300,234,0.7333333333333333,0.692880779504776,60,44,2025-10-20 12:10:24
