model_name,experiment,paradigm,system,combined,distribution,is_lora,step,sst2_val_acc,sst2_val_f1,qqp_val_acc,qqp_val_f1,stsb_val_pearson,stsb_val_spearman,train_acc,train_loss,time_step,gpu_mem_step
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,49,0.9094,0.9208,0.8124,0.7432,0.4914,0.4637,0.7488,0.0,272.2,0.08807884799999999
tiny_bert,tinybert_fl_mtl_iid_3clients,Multi-task,FL,FL-Multi-task,IID,False,50,0.9094,0.9208,0.8122,0.7422,0.4903,0.463,0.7496,0.0,272.16,0.08807884799999999
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,1,0.0,0.0,0.0,0.0,0.1185525213298336,0.1024298855435276,0.1185525213298336,3.1493743880462826,95.344449,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,2,0.0,0.0,0.0,0.0,0.2848725091230208,0.2758717275033522,0.2848725091230208,1.958012076696955,92.275576,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,3,0.0,0.0,0.0,0.0,0.5955831044156498,0.5835590908137374,0.5955831044156498,1.6604729460314251,93.567526,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,4,0.0,0.0,0.0,0.0,0.6383146896435404,0.6243402096683038,0.6383146896435404,1.4426716017095669,95.157824,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,5,0.0,0.0,0.0,0.0,0.645595213676551,0.6345727789983936,0.645595213676551,1.3287587784566826,93.917792,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,6,0.0,0.0,0.0,0.0,0.6721370198616345,0.663909690677107,0.6721370198616345,1.2181400175213366,92.824417,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,7,0.0,0.0,0.0,0.0,0.6843042161150447,0.6752744992217243,0.6843042161150447,1.143851695736324,95.158918,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,8,0.0,0.0,0.0,0.0,0.6937764530387276,0.6893604840190599,0.6937764530387276,1.0914488097974904,93.639046,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,9,0.0,0.0,0.0,0.0,0.6871592713369945,0.6793255696294687,0.6871592713369945,1.030578161190663,91.553342,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,10,0.0,0.0,0.0,0.0,0.7104424000543987,0.7027592583783421,0.7104424000543987,0.953203108161688,95.7259,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,11,0.0,0.0,0.0,0.0,0.7102696730690532,0.704195214884049,0.7102696730690532,0.9039921870357112,93.380003,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,12,0.0,0.0,0.0,0.0,0.7108347146952598,0.7042579391265682,0.7108347146952598,0.8757174349577285,92.313472,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,13,0.0,0.0,0.0,0.0,0.7123370700143236,0.7068080885710195,0.7123370700143236,0.8290524739576014,92.699317,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,14,0.0,0.0,0.0,0.0,0.7172221492739774,0.7110526840231775,0.7172221492739774,0.7933292613833919,92.877372,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,15,0.0,0.0,0.0,0.0,0.7183320074303279,0.7132148329444992,0.7183320074303279,0.7514529810532143,92.148886,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,16,0.0,0.0,0.0,0.0,0.7228922397839889,0.7178397064945354,0.7228922397839889,0.7573894748702309,93.426364,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,17,0.0,0.0,0.0,0.0,0.7214256186404517,0.7167901345967705,0.7214256186404517,0.7292419558292941,92.043706,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,18,0.0,0.0,0.0,0.0,0.7177681016046086,0.7136270576836129,0.7177681016046086,0.6879750311486703,93.381532,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,19,0.0,0.0,0.0,0.0,0.722403914770421,0.718258076889647,0.722403914770421,0.6693652873102548,93.542072,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,20,0.0,0.0,0.0,0.0,0.7253429463151819,0.721295831652373,0.7253429463151819,0.6550834785894792,95.631129,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,21,0.0,0.0,0.0,0.0,0.7224231595137357,0.7186922764771632,0.7224231595137357,0.6419358803204408,92.972193,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,22,0.0,0.0,0.0,0.0,0.7248702129407659,0.7214351698266998,0.7248702129407659,0.6480320080890691,93.718041,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,23,0.0,0.0,0.0,0.0,0.7257921704980659,0.7216980917160962,0.7257921704980659,0.6459029282730325,91.503883,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,24,0.0,0.0,0.0,0.0,0.7264732537141826,0.7226259286545141,0.7264732537141826,0.6265658970845205,94.154629,0.3427261867201335
tiny_bert,tinybert_centralized_single_stsb,Single-task,Centralized,Centralized-Single-task,N/A,False,25,0.0,0.0,0.0,0.0,0.7269762520492515,0.7230012598740546,0.7269762520492515,0.612272956996764,94.463211,0.3427261867201335
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,1,0.7935779816513762,0.8013245033112583,0.0,0.0,0.0,0.0,0.7935779816513762,0.4597156397655391,198.987405,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,2,0.8142201834862385,0.8235294117647058,0.0,0.0,0.0,0.0,0.8142201834862385,0.3369825248340891,196.430607,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,3,0.8314220183486238,0.8357541899441341,0.0,0.0,0.0,0.0,0.8314220183486238,0.3024263755975921,191.983479,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,4,0.8291284403669725,0.8357221609702316,0.0,0.0,0.0,0.0,0.8291284403669725,0.2741053574109141,196.528117,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,5,0.8291284403669725,0.8331466965285554,0.0,0.0,0.0,0.0,0.8291284403669725,0.2544971265711302,191.311782,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,6,0.8211009174311926,0.8239277652370203,0.0,0.0,0.0,0.0,0.8211009174311926,0.2353079508487544,193.132605,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,7,0.8107798165137615,0.8268625393494229,0.0,0.0,0.0,0.0,0.8107798165137615,0.222435860958908,193.358615,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,8,0.8096330275229358,0.8191721132897604,0.0,0.0,0.0,0.0,0.8096330275229358,0.2075978759548455,197.64306,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,9,0.8142201834862385,0.8250539956803455,0.0,0.0,0.0,0.0,0.8142201834862385,0.1991501088165896,194.448396,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,10,0.8176605504587156,0.8269858541893362,0.0,0.0,0.0,0.0,0.8176605504587156,0.1888792294786364,196.637223,0.3427341380503592
tiny_bert,tinybert_centralized_single_sst2,Single-task,Centralized,Centralized-Single-task,N/A,False,11,0.8130733944954128,0.8202866593164277,0.0,0.0,0.0,0.0,0.8130733944954128,0.1803920787876871,192.790503,0.3427341380503592
