model,experiment,paradigm,system,distribution,is_lora,val_sst2_acc,val_sst2_f1,val_qqp_acc,val_qqp_f1,val_stsb_pearson,val_stsb_spearman,train_acc,train_loss,avg_gpu_mem_gb,peak_gpu_mem_gb,total_time_sec,avg_step_time_sec,total_samples,sync_events
medium-bert,mediumbert_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.8933,0.8988,0.8183,0.7441,0.4219,0.4132,0.8761370523886612,0.08691140977801723,0.6790196337777777,0.679604736,33374.5,1334.98,143353.0,25.0
medium-bert,mediumbert_centralized_mtl,Multi-task,Centralized,N/A,False,0.8864678899082569,0.8883977900552487,0.8333333333333334,0.8776978417266187,0.8615454825355658,0.8584116040914934,0.9887762878543582,0.0164788172893552,2.667126624615792,2.667126624615792,19257.400782999997,770.2960313199999,436944.0,0.0
medium-bert,mediumbert_centralized_single_qqp,Single-task,Centralized,N/A,False,0.0,0.0,0.8357843137254902,0.8858603066439523,0.0,0.0,0.8357843137254902,0.0007711268502477,2.6467195355914264,2.6467195355914264,3205.5133659999997,128.22053463999998,363846.0,0.0
medium-bert,mediumbert_fl_single_sst2_non-iid_3clients,Single-task,FL,Non-IID,False,0.93,0.9348,0.0,0.0,0.0,0.0,0.999864614829189,0.0007722045179087666,0.67855616,0.67855616,15439.040000000003,617.5616000000001,66477.0,25.0
medium-bert,mediumbert_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9392,0.945,0.8962,0.8655,0.8258,0.8052,0.9620264763302852,0.03435222339284233,0.680650752,0.684847616,45258.21,1810.3283999999999,394141.0,25.0
medium-bert,mediumbert_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.8131,0.8362,0.7388,0.6805,0.6823,0.6512,0.7133694386803467,0.34752689658230196,0.18401075200000003,0.184013312,12885.74,515.4295999999999,394141.0,25.0
distil-bert,distilbert_centralized_single_stsb,Single-task,Centralized,N/A,False,0.0,0.0,0.0,0.0,0.8711609715954807,0.8691196061336034,0.8711609715954807,0.0147562984366642,4.246972451503247,4.246972451503247,4561.782035,182.4712814,5749.0,0.0
distil-bert,distilbert_centralized_single_sst2,Single-task,Centralized,N/A,False,0.9002293577981652,0.906148867313916,0.0,0.0,0.0,0.0,0.9002293577981652,0.0003919704917823,4.246002389215707,4.246002389215707,18514.820688,740.59282752,67349.0,0.0
distil-bert,distilbert_fl_single_qqp_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.8408,0.7724,0.0,0.0,0.9988417876618053,0.007016917440918767,1.0956402346666667,1.09730048,34904.44,1396.1776,107805.0,25.0
distil-bert,distilbert_fl_single_stsb_non-iid_3clients,Single-task,FL,Non-IID,False,0.0,0.0,0.0,0.0,0.7753,0.7421,0.9765107800169343,0.003656097692887333,1.0992984746666667,1.102007296,15452.52,618.1008,1416.0,25.0
distil-bert,distilbert_fl_mtl_lora_3clients,Multi-task,FL,IID,True,0.8257,0.8433,0.7535,0.6754,0.5108,0.4919,0.6741997960394799,0.31867142804028376,0.285237248,0.285620736,21245.26,849.8104,394141.0,25.0
distil-bert,distilbert_centralized_mtl,Multi-task,Centralized,N/A,False,0.9036697247706422,0.9076923076923076,0.8137254901960784,0.8778135048231511,0.8635447821041434,0.8614326862448632,0.9933874018493613,0.0090170236933693,4.321388951085961,4.321388951085961,24449.680308000003,977.9872123200001,436944.0,0.0
distil-bert,distilbert_centralized_single_qqp,Single-task,Centralized,N/A,False,0.0,0.0,0.8455882352941176,0.8934010152284264,0.0,0.0,0.8455882352941176,1.992177782384693e-05,4.254653436501313,4.254653436501313,4290.592427,171.62369707999997,363846.0,0.0
distil-bert,distilbert_fl_single_sst2_non-iid_3clients,Single-task,FL,Non-IID,False,0.9346,0.9392,0.0,0.0,0.0,0.0,0.9999398288129728,0.00020319499427990292,1.097169408,1.097169408,23586.44,943.4576,66477.0,25.0
distil-bert,distilbert_fl_mtl_non-iid_9clients,Multi-task,FL,Non-IID,False,0.9232,0.9298,0.8579,0.8054,0.6963,0.6967,0.9351706036658215,0.04184752810627636,1.0969324657777777,1.104366592,52903.97,2116.1588,143353.0,25.0
distil-bert,distilbert_fl_mtl_iid_3clients,Multi-task,FL,IID,False,0.9461,0.9514,0.8913,0.861,0.8284,0.8136,0.9796415196367656,0.015621441177560702,1.0898691413333335,1.091521536,56454.46,2258.1784,394141.0,25.0
